Date,Total Revenue/Income,Total Operating Expense,Operating Income/Profit,EBITDA,EBIT,Income/Profit Before Tax,Net Income From Continuing Operation,Net Income,Net Income Applicable to Common Share,EPS (Earning Per Share)
Dec 2021,161.03,139.34,23.23,23.23,20.07,15.89,11.69,11.64,11.64,3.30
Mar 2022,172.41,152.94,19.47,22.68,9.01,14.57,10.67,10.63,10.63,3.01
Jun 2022,185.91,164.38,21.54,22.11,22.07,17.79,13.30,13.26,13.26,3.76
Sep 2022,187.78,164.43,23.35,24.34,21.00,16.10,11.94,11.88,11.88,3.37
Dec 2022,154.71,137.75,13.63,17.85,14.52,10.04,7.31,7.38,7.38,2.11
Mar 2023,173.28,152.73,16.86,20.99,17.29,13.19,9.33,9.30,9.30,2.64
Jun 2023,190.56,164.17,22.92,27.35,23.88,19.82,14.92,14.92,14.92,4.23
Sep 2023,199.70,169.76,26.46,30.08,26.60,22.36,15.98,16.03,16.03,4.54
Dec 2023,174.89,152.63,18.57,22.64,18.95,15.37,11.48,11.48,11.48,3.25
Mar 2024,212.34,185.80,22.83,27.65,23.94,19.28,13.62,13.64,13.64,3.87
Jun 2024,230.55,200.55,26.02,31.86,27.88,24.16,17.85,17.86,17.86,5.06
