Date,Total Revenue/Income,Total Operating Expense,Operating Income/Profit,EBITDA,EBIT,Income/Profit Before Tax,Net Income From Continuing Operation,Net Income,Net Income Applicable to Common Share,EPS (Earning Per Share)
Dec 2021,-4.42,15.85,-20.26,-20.22,-20.24,-20.24,-16.44,-16.44,-16.44,-15.66
Mar 2022,-8.99,0.645,-9.64,-9.61,-9.63,-9.63,-9.72,-9.72,-9.72,-9.25
Jun 2022,-3.92,0.583,-4.50,-4.49,-4.50,-4.50,-4.50,-4.50,-4.50,-4.28
Sep 2022,-1.13,0.520,-1.65,-1.64,-1.65,-1.66,-1.66,-1.66,-1.66,-1.58
Dec 2022,-3.57,0.480,-4.09,-4.04,-4.06,-4.06,-4.06,-4.06,-4.06,-3.87
Mar 2023,-0.350,7.37,-7.73,-7.69,-7.71,-7.71,-7.84,-7.84,-7.84,-7.47
Jun 2023,1.01,3.77,-2.77,-2.76,-2.77,-2.78,-2.78,-2.77,-2.77,-2.64
Sep 2023,2.79,0.480,2.30,2.31,2.30,2.30,2.30,2.30,2.30,2.19
Dec 2023,16.58,0.550,16.03,16.04,16.03,16.03,16.03,16.03,16.03,15.27
Mar 2024,18.18,0.820,17.36,17.39,17.37,17.37,16.62,16.62,16.62,15.82
Jun 2024,108.58,81.54,27.04,27.11,27.10,27.09,24.45,24.45,24.45,23.28
