Date,Total Revenue/Income,Total Operating Expense,Operating Income/Profit,EBITDA,EBIT,Income/Profit Before Tax,Net Income From Continuing Operation,Net Income,Net Income Applicable to Common Share,EPS (Earning Per Share)
Dec 2021,165.70,178.17,-12.47,-13.59,-17.80,-19.52,-22.63,-22.63,-22.63,-1.37
Mar 2022,175.63,177.06,-1.43,1.40,-3.40,-5.58,-3.89,-3.89,-3.89,-0.229
Jun 2022,179.22,190.29,-11.07,6.72,1.91,-0.380,-1.52,-1.52,-1.52,-0.090
Sep 2022,177.13,201.19,-24.06,23.13,18.12,15.75,17.11,17.11,17.11,1.02
Dec 2022,182.30,188.55,-13.83,24.22,16.64,14.57,13.05,13.05,13.05,0.780
Mar 2023,190.46,207.46,-22.40,-17.60,-23.00,-25.56,-27.27,-27.27,-27.27,-1.62
Jun 2023,194.38,198.55,-9.53,-6.37,-11.73,-14.09,-15.59,-15.59,-15.59,-0.930
Sep 2023,210.28,175.50,27.66,-143.50,-150.62,-153.27,-154.16,-154.16,-154.16,-9.15
Dec 2023,212.18,220.99,-15.82,-8.75,-15.76,-18.48,-29.44,-29.44,-29.44,-1.74
Mar 2024,197.04,236.67,-47.30,-88.08,-95.75,-98.11,-99.08,-99.08,-99.08,-5.87
Jun 2024,179.75,180.48,-7.63,2.91,-3.99,-6.07,-8.53,-8.53,-8.53,-0.500
