Date,Total Revenue/Income,Total Operating Expense,Operating Income/Profit,EBITDA,EBIT,Income/Profit Before Tax,Net Income From Continuing Operation,Net Income,Net Income Applicable to Common Share,EPS (Earning Per Share)
Dec 2021,0.440,0.090,0.350,0.350,0.320,0.320,0.240,0.240,0,0.140
Mar 2022,0.430,0.119,0.310,0.0412,-0.054,0.311,0.234,0.234,0.234,0.132
Jun 2022,0.433,0.120,0.313,0.337,0.310,0.313,0.239,0.239,0.239,0.130
Sep 2022,1.15,0.120,0.328,1.03,1.01,1.01,0.750,0.750,0.749,0.420
Dec 2022,0.480,0.090,0.365,0.390,0.366,0.370,0.280,0.280,0.280,0.150
Mar 2023,0.470,0.080,0.360,0.380,0.356,0.360,0.270,0.270,0.270,0.150
Jun 2023,0.470,0.100,0.350,0.370,0.346,0.350,0.260,0.260,0.260,0.140
Sep 2023,1.31,0.220,1.07,1.09,1.07,1.07,0.800,0.800,0.800,0.440
Dec 2023,0.890,0.350,0.520,0.540,0.517,0.520,0.390,0.390,0.390,0.220
Mar 2024,0.890,0.390,0.480,0.500,0.480,0.480,0.360,0.360,0.360,0.200
Jun 2024,0.890,0.370,0.510,0.520,0.510,0.510,0.380,0.380,0.380,0.210
