Date,Total Revenue/Income,Total Operating Expense,Operating Income/Profit,EBITDA,EBIT,Income/Profit Before Tax,Net Income From Continuing Operation,Net Income,Net Income Applicable to Common Share,EPS (Earning Per Share)
Dec 2021,80.05,71.50,8.71,8.71,7.52,0.990,0.740,0.740,0.743,0.250
Mar 2022,64.94,76.60,-11.67,13.22,8.19,6.01,4.40,4.40,4.40,1.50
Jun 2022,59.77,68.46,-8.69,17.66,15.60,10.11,7.39,7.39,7.39,2.51
Sep 2022,79.55,59.53,17.94,20.70,18.61,14.07,10.75,10.75,10.75,3.51
Dec 2022,83.76,60.95,20.64,22.86,20.69,14.70,11.02,11.02,11.02,3.60
Mar 2023,90.59,65.14,22.98,26.31,23.83,19.21,14.41,14.41,14.41,4.70
Jun 2023,84.55,58.96,23.28,25.63,23.32,19.47,14.54,14.54,14.54,4.74
Sep 2023,96.91,63.37,31.29,33.58,31.34,24.87,19.04,19.04,19.04,6.19
Dec 2023,100.26,69.89,28.10,30.44,28.17,20.18,15.09,15.09,15.09,4.84
Mar 2024,112.86,92.29,17.86,20.60,17.88,7.62,5.78,5.78,5.78,1.85
Jun 2024,102.24,64.93,34.01,37.35,34.05,26.89,20.09,20.09,20.09,6.44
