Date,Total Revenue/Income,Total Operating Expense,Operating Income/Profit,EBITDA,EBIT,Income/Profit Before Tax,Net Income From Continuing Operation,Net Income,Net Income Applicable to Common Share,EPS (Earning Per Share)
Dec 2021,40.50,74.18,-33.80,-14.39,-14.04,-17.55,-13.66,-13.66,-13.66,-2.96
Mar 2022,42.30,80.57,-25.05,-3.16,-15.65,-6.08,1.96,4.46,4.46,0.970
Jun 2022,40.91,82.29,-41.48,-8.76,-3.65,-11.74,-6.50,-3.85,-3.85,-0.841
Sep 2022,44.32,75.53,-31.21,-10.34,-13.37,-13.51,-12.93,-10.66,-10.66,-2.31
Dec 2022,93.24,78.41,11.59,42.52,39.28,37.64,20.53,21.99,21.99,5.11
Mar 2023,111.60,83.38,13.98,15.41,1.17,7.16,-17.57,-23.78,-23.78,-5.16
Jun 2023,115.08,88.83,18.59,59.39,51.73,51.15,38.98,39.37,39.37,8.54
Sep 2023,158.77,91.01,60.26,103.47,95.96,96.31,79.87,79.28,79.28,17.88
Dec 2023,160.73,95.37,57.74,109.67,102.05,99.31,90.21,92.72,92.72,20.12
Mar 2024,37.53,99.71,-69.69,-20.32,-27.83,-32.87,3.29,8.02,8.02,1.74
Jun 2024,38.74,89.46,-58.88,1.00,-7.16,-10.33,-11.51,-8.59,-8.59,-1.86
