Date,Total Revenue/Income,Total Operating Expense,Operating Income/Profit,EBITDA,EBIT,Income/Profit Before Tax,Net Income From Continuing Operation,Net Income,Net Income Applicable to Common Share,EPS (Earning Per Share)
Dec 2021,21.97,18.41,3.68,2.05,2.04,1.71,1.28,1.28,1.28,0.126
Mar 2022,21.37,18.62,2.75,2.89,-3.37,2.61,1.91,1.91,1.91,0.190
Jun 2022,19.47,17.75,1.72,1.62,1.62,1.62,1.22,1.22,1.22,0
Sep 2022,26.52,22.92,3.60,3.84,2.12,1.73,1.29,1.29,1.29,0.130
Dec 2022,26.88,24.15,0.910,3.55,1.73,1.30,0.970,0.970,0.970,0.100
Mar 2023,19.71,15.88,1.82,3.98,1.98,1.49,1.06,1.06,1.06,0.110
Jun 2023,18.30,14.83,1.67,3.54,1.74,1.38,1.04,1.04,1.04,0.100
Sep 2023,21.24,17.33,2.07,4.01,0.371,1.68,1.26,1.26,1.26,0.120
Dec 2023,21.80,19.00,0.850,2.85,0.900,0.550,0.410,0.410,0.410,0.0400
Mar 2024,30.89,23.95,4.98,6.94,5.36,4.77,3.51,3.51,3.51,0.350
Jun 2024,26.01,22.66,1.63,3.87,2.16,1.62,1.20,1.20,1.20,0.120
