Date,Total Revenue/Income,Total Operating Expense,Operating Income/Profit,EBITDA,EBIT,Income/Profit Before Tax,Net Income From Continuing Operation,Net Income,Net Income Applicable to Common Share,EPS (Earning Per Share)
Dec 2021,140.27,137.71,2.56,3.19,2.69,2.20,1.95,1.95,1.95,0.769
Mar 2022,120.25,118.97,1.27,3.00,2.59,1.98,-0.755,-0.755,-0.755,-0.302
Jun 2022,117.34,118.35,-1.01,1.75,1.35,0.800,0.800,0.800,0.800,0.320
Sep 2022,76.26,71.99,3.86,3.34,2.92,2.32,2.12,2.12,2.12,0.830
Dec 2022,62.47,61.49,0.978,2.01,1.46,0.746,0.494,0.494,0.494,0
Mar 2023,158.18,160.36,-2.38,3.36,3.16,2.15,0.360,0.360,0.360,0.140
Jun 2023,50.96,49.62,0.920,2.03,1.61,0.720,0.720,0.720,0.720,0.290
Sep 2023,57.83,55.98,1.44,2.68,2.27,1.01,0.780,0.780,0.780,0.310
Dec 2023,76.48,73.77,2.23,3.00,2.53,1.46,1.91,1.91,1.91,0.750
Mar 2024,210.35,211.79,-1.84,-1.44,3.30,2.15,2.15,2.15,2.15,0.770
Jun 2024,126.91,125.73,0.710,2.76,2.29,1.33,1.24,1.24,1.24,0.440
