Date,Total Revenue/Income,Total Operating Expense,Operating Income/Profit,EBITDA,EBIT,Income/Profit Before Tax,Net Income From Continuing Operation,Net Income,Net Income Applicable to Common Share,EPS (Earning Per Share)
Dec 2021,2375.98,1409.86,966.18,966.18,894.49,867.64,772.54,772.49,772.49,21.31
Mar 2022,1755.64,1493.76,261.88,339.28,50.76,231.43,193.75,193.73,193.73,5.34
Jun 2022,1972.02,1689.22,282.80,369.69,283.18,233.37,189.07,189.07,189.07,5.22
Sep 2022,1685.01,1418.00,194.12,267.03,194.14,150.41,124.48,124.48,124.48,3.43
Dec 2022,1667.68,1379.00,206.58,288.96,206.86,159.89,136.53,136.53,136.53,3.77
Mar 2023,1656.00,1404.00,168.00,252.00,168.00,135.00,149.00,149.00,149.00,4.12
Jun 2023,1414.00,1214.00,111.00,200.00,111.00,71.00,70.00,70.00,70.00,1.93
Sep 2023,1454.00,1221.00,140.00,233.00,140.00,82.00,91.00,91.00,91.00,2.51
Dec 2023,1732.00,1472.00,163.00,268.00,171.00,117.00,124.00,124.00,124.00,3.43
Mar 2024,1773.00,1490.00,185.00,283.00,185.00,126.00,132.00,132.00,132.00,3.65
Jun 2024,1855.00,1549.00,204.00,311.00,209.00,145.00,137.00,137.00,137.00,3.78
