Date,Total Revenue/Income,Total Operating Expense,Operating Income/Profit,EBITDA,EBIT,Income/Profit Before Tax,Net Income From Continuing Operation,Net Income,Net Income Applicable to Common Share,EPS (Earning Per Share)
Dec 2021,135.15,126.40,8.77,8.77,5.25,2.19,-2.23,-2.23,-2.23,-2.94
Mar 2022,151.40,149.26,2.15,4.42,2.38,0.136,2.37,2.37,2.37,3.13
Jun 2022,158.13,150.12,8.01,11.60,8.11,5.13,3.71,3.71,3.71,4.89
Sep 2022,151.77,142.99,8.78,8.86,4.80,1.06,0.320,0.320,0.320,0.430
Dec 2022,133.55,119.99,9.55,13.63,9.62,5.46,3.98,3.98,3.98,5.17
Mar 2023,157.84,143.94,9.98,13.99,10.06,6.15,4.69,4.69,4.69,5.91
Jun 2023,148.70,133.90,10.85,14.83,10.88,7.56,5.25,5.25,5.25,6.61
Sep 2023,143.86,127.60,12.40,16.28,12.43,8.78,4.74,4.74,4.74,5.97
Dec 2023,138.75,122.02,12.71,16.75,12.73,9.09,6.68,6.68,6.68,8.42
Mar 2024,158.55,144.21,10.13,14.38,10.17,6.77,4.65,4.65,4.65,5.49
Jun 2024,143.41,133.79,5.40,10.12,5.89,3.31,2.22,2.22,2.22,2.62
