Date,Total Revenue/Income,Total Operating Expense,Operating Income/Profit,EBITDA,EBIT,Income/Profit Before Tax,Net Income From Continuing Operation,Net Income,Net Income Applicable to Common Share,EPS (Earning Per Share)
Dec 2021,114.14,122.49,-8.35,0.482,-5.93,-16.17,-12.55,-14.03,-14.03,-5.98
Mar 2022,110.84,117.44,-6.61,-0.899,-27.20,-16.89,-26.73,-12.18,-12.18,-5.19
Jun 2022,107.06,112.49,-5.42,3.29,-3.35,-13.32,-14.29,-10.03,-10.03,-4.28
Sep 2022,55.05,66.26,-11.21,-10.77,-17.38,-28.63,-17.37,-17.37,-17.37,-7.40
Dec 2022,47.52,61.00,-19.98,-20.10,-26.71,-31.96,-22.21,-22.21,-22.21,-9.47
Mar 2023,49.92,54.72,-10.23,-4.73,-10.16,-22.76,-15.44,-15.44,-15.44,-6.58
Jun 2023,10.37,20.90,-16.73,-10.36,-16.56,-27.02,-18.59,-18.59,-18.59,-7.92
Sep 2023,24.81,30.98,-8.92,-3.77,-6.52,-18.26,-12.97,-12.97,-12.97,-5.53
Dec 2023,25.55,34.71,-10.80,-5.80,-7.18,-15.12,-6.60,-6.60,-6.60,-2.81
Mar 2024,24.00,29.35,-6.48,-4.68,-6.06,-12.56,-6.46,-6.46,-6.46,-2.75
Jun 2024,13.53,24.46,-12.04,34.16,33.05,27.73,22.58,22.58,22.58,9.63
