Date,Total Revenue/Income,Total Operating Expense,Operating Income/Profit,EBITDA,EBIT,Income/Profit Before Tax,Net Income From Continuing Operation,Net Income,Net Income Applicable to Common Share,EPS (Earning Per Share)
Dec 2021,73.69,70.04,3.65,4.31,4.01,3.81,3.82,3.82,3.82,2.58
Mar 2022,90.99,88.26,2.73,3.24,2.21,2.73,2.66,2.66,2.66,1.80
Jun 2022,106.64,102.30,4.34,4.92,4.67,4.35,4.32,4.32,4.32,2.92
Sep 2022,112.65,107.25,5.40,4.91,4.62,4.18,4.09,4.09,4.09,2.77
Dec 2022,110.94,107.35,3.25,3.92,3.59,3.05,2.65,2.65,2.65,1.79
Mar 2023,106.30,101.66,4.28,4.90,4.55,4.09,3.45,3.45,3.45,2.34
Jun 2023,100.87,96.73,3.85,4.26,3.98,3.67,3.32,3.32,3.32,2.24
Sep 2023,102.28,99.11,2.87,2.61,2.31,2.84,2.61,2.61,2.61,1.77
Dec 2023,99.89,97.66,1.88,3.13,2.78,2.39,2.38,2.38,2.38,1.61
Mar 2024,103.11,100.14,2.63,3.98,3.64,3.21,3.04,3.04,3.04,2.05
Jun 2024,113.33,110.32,3.02,3.31,3.50,2.83,2.61,2.61,0,1.76
